COURSE,YEAR,INTEGRANTES
"Historias, cuentos y fábulas warao",2009,['Jenny González Muñoz']
"Educación en valores éticos, morales y ambientales",2008,['Jenny González Muñoz']
"Saberes, sonidos y sabores de nuestros pueblos indígenas",2009,['Jenny González Muñoz']
Pintura Indígena,2009,['Jenny González Muñoz']
¿Qué hacemos con la cultura?,2010,['Jenny González Muñoz']
Lectura de la escritura sobre la piedra en las civilizaciones occidentales y no occidentales,2017,['Jenny González Muñoz']
Estudos antropológicos e enunciativos: um diálogo necessário,2017,['Jenny González Muñoz']
Especialização em Cultura Material e Arqueologia,2018,['Jenny González Muñoz']
"Carpentier, Gallegos y Rulfo. Abordajes prácticos de la religiosidad popular en la literatura latinoamericana y caribeña.",2018,['Jenny González Muñoz']
"Los warao, gente de agua",2010,['Jenny González Muñoz']
