TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Os de Lá e Os de Cá: aproximações entre dois Antonios.,2006,,Português,Kalíope (PUCSP),B3,1808-6977,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
Eles Não Usam Black-Tie: a forma como conteúdo histórico-ideológico.,2010,,Português,CERRADOS (UNB. IMPRESSO),B3,0104-3927,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
ESPELHO E INTERPRETAÇÃO: A LITERATURA DRAMÁTICA E SUA INSERÇÃO NA REALIDADE OU UM OLHAR MARXISTA PARA O TEXTO DRAMATÚRGICO DE JORGE ANDRADE,2011,10.11606/issn.1981-7169.crioula.2011.55367,Português,Revista Crioula (USP),A3,1981-7169,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
PELA -ESCADA- DE JORGE ANDRADE: O NASCIMENTO DE UMA TRAJETÓRIA ENTRE A MEMÓRIA E A HISTÓRIA,2011,10.11606/issn.1981-7169.crioula.2011.55485,Português,Revista Crioula (USP),A3,1981-7169,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
"A presença de Luigi Pirandello e Jorge Andrade no moderno teatro brasileiro, ou como Décio de Almeida Prado os enxerga através da lente da formação",2012,10.20396/pita.v3i3.8634766,Português,Revista de Estudos Teatrais Pitágoras,A4,2237-387X,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
"As personagens de Pirandello: memória, história e narrativa.",2012,,Português,Olhar (UFSCar),XX,1517-0845,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
Jorge Andrade e a metateatralidade da consciência histórica,2012,,Português,O Percevejo Online,XX,2176-7017,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
Os Gigantes da Montanha: um exercício de leitura entre dramaturgia e história.,2014,,Português,REPERTÓRIO: TEATRO &amp; DANÇA (ONLINE),A4,2175-8131,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
"Entre a estética e o político: caráter popular, -qualidade estética- e teatro brasileiro",2016,10.5965/1414573102272016296,Português,Urdimento (UDESC),A1,1414-5731,"['Berilo Luigi Deiró Nosella', 'Letícia Gouvêa Issene']","['1', '2']",['1'],-99
Intervenção como interrupção: práticas políticas na cena paulistana contemporânea,2016,10.20396/pita.v6i1.8647178,Português,Revista de Estudos Teatrais Pitágoras,A4,2237-387X,"['Carina Maria Guimarães Moreira', 'Berilo Luigi Deiró Nosella']","['1', '2']",['2'],-99
Perspectivas sobre o drama moderno no Brasil: revisitando a história,2017,10.14393/ouv20-v13n1a2017-7,Português,OUVIROUVER (ONLINE),XX,1983-1005,"['Berilo Luigi Deiró Nosella', 'Elen de Medeiros', 'Larissa de Oliveira Neves Catalão']","['1', '2', '3']",['1'],-99
Por uma história do pensamento sobre o fazer da iluminação cênica moderna: a cena além do humano,2018,10.5965/1414573101312018020,Português,Urdimento (UDESC),A1,1414-5731,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
A Dramaturgia como Fonte para uma História da Iluminação Cênica: Pirandello capocomico iluminador,2019,10.1590/2237-266084817,Português,REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA [EPERIODICO],A1,2237-2660,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
APONTAMENTOS SOBRE A HISTÓRIA DA ILUMINAÇÃO MODERNA,2019,10.5216/ac.v4i2.54795,Português,REVISTA ARTE DA CENA,B1,2358-6060,['Berilo Luigi Deiró Nosella'],['1'],['1'],-99
Práticas laboratoriais e a história na cena: tecnologia e iluminação na cena épica de Piscator,2020,10.5965/1414573101372020035,Português,Urdimento-Revista De Estudos Em Artes Cenicas,A1,2358-6958,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira']","['1', '2']",['1'],-99
Iluminação e composição cênica: o espetáculo soft porn à luz de Artaud,2020,,Português,Ephemera Journal - Revista do Programa de Pós-Graduação em Artes Cênicas da UFOP,XX,2596-0229,"['Berilo Luigi Deiró Nosella', 'Laura de Paula Resende']","['1', '2']",['1'],-99
"Iluminação Cênica: Empresas, Equipes e Profissionais no Brasil",2021,,Português,A Luz em Cena: revista de pedagogias e poéticas cenográficas,XX,2764-4669,"['Berilo Luigi Deiró Nosella', 'Rosana Aparecida Pimenta', 'Thamiris Calegari Rodrigues', 'Thatiane Christina Soares Alves', 'Ana Júlia Toste Blasques']","['1', '2', '3', '4', '5']",['1'],-99
Teatro diaspórico:  uma análise estético-política do Coletivo Legítima Defesa de São Paulo,2021,,Português,Ephemera Journal - Revista do Programa de Pós-Graduação em Artes Cênicas da UFOP,XX,2596-0229,"['Berilo Luigi Deiró Nosella', 'Priscila de Souza Chagas do Nascimento']","['1', '2']",['1'],-99
