INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Centro Universitário UNA,2006,12,12,12,Comunicação Social,GRADUACAO,['Produção Gráfica - Jornalismo e Relações Públicas']
Centro Universitário UNA,2007,05,05,05,Comunicação Social,GRADUACAO,"['Direção de Arte - Publicidade e Propaganda', 'Ferramentas de Construção da Imagem Digital - Design Gráfico', 'Produção Gráfica - Relações Públicas e Jornalismo', 'Produção Gráfica II - Moda']"
Centro Universitário UNA,2007,06,06,06,Comunicação Social,GRADUACAO,"['Produção Gráfica - Relações Públicas, Jornalismo e Publicidade e Propaganda', 'Produção Gráfica II - Moda']"
Pontifícia Universidade Católica de Minas Gerais,2007,07,07,07,Design de Interação,POS-GRADUACAO,"['Estilos de Interação', 'Prototipação']"
Centro Universitário UNA,2008,02,02,02,Comunicação Social,GRADUACAO,"['Comunicação e Produção Visual (Moda)', 'Direção de Arte - Publicidade', 'Estratégias de Apresentação de Projeto (Moda)', 'Produção Gráfica - para Jornalismo e Relações Públicas', 'Web Design - Curso de Design Gráfico']"
Pontifícia Universidade Católica de Minas Gerais,2008,06,06,06,Design de Interação,POS-GRADUACAO,['Estilos de Interação']
Pontifícia Universidade Católica de Minas Gerais,2008,10,10,10,Design de Interação,POS-GRADUACAO,['Prototipação']
Pontifícia Universidade Católica de Minas Gerais,2009,05,05,05,Design de Interação,POS-GRADUACAO,['Estilos de Interação']
Pontifícia Universidade Católica de Minas Gerais,2009,10,10,10,Design de Interação,POS-GRADUACAO,['Prototipação']
Pontifícia Universidade Católica de Minas Gerais,2009,11,11,11,Produção em Novas Mídias,POS-GRADUACAO,['Estética Digital']
Universidade Federal de Minas Gerais,2009,,ATUAL,ATUAL,Cinema de Animação e Arte Digital,GRADUACAO,"['Cor, Forma e Composição da Imagem Digital', 'Produção e Crítica para Web']"
Universidade Federal de Minas Gerais,2011,06,06,06,Design,GRADUACAO,"['Cor, Forma e Composição', 'Design Editorial Digital']"
Universidade Federal de Minas Gerais,2017,12,12,12,Artes,POS-GRADUACAO,['TOPICOS ESPECIAIS EM ARTES III: Poéticas Tecnológicas']
Universidade Federal de Minas Gerais,2017,,ATUAL,ATUAL,Design,GRADUACAO,['Tópicos em Design Gráfico III: Experimentações em Processing']
Universidade Federal de Minas Gerais,2018,12,12,12,Artes,POS-GRADUACAO,"['TÓPICOS ESPECIAIS EM ARTES II: Poética da Complexidade, tecnologia e sistemas descentralizados em ambientes de Arte']"
Universidade Federal de Minas Gerais,2019,05,05,05,Artes,POS-GRADUACAO,['TOPICOS ESPECIAIS EM ARTES I: Introdução à Estética Digital Interativa']
