TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Semiose segundo C.S.Peirce,2004,Português,VAZIO,['Alvaro Joao Magalhaes de Queiroz'],['1'],['1']
Abduction - between subjectivity and objectivity,2005,Inglês,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'Floyd Merrell']","['1', '2']",['1']
"Computação, Cognição, Semiose",2007,Português,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'Angelo Loula', 'Ricardo Gudwin']","['1', '2', '3']",['1']
Artificial Cognition Systems,2007,Inglês,VAZIO,"['Angelo Loula', 'Ricardo Gudwin', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2', '3']",['3']
"Genes, Information, Semiosis",2009,Inglês,VAZIO,"['Charbel El Hani', 'Alvaro Joao Magalhaes de Queiroz', 'Claus Emmeche']","['1', '2', '3']",['2']
Semiotics and Intelligent Systems Development,2007,Inglês,VAZIO,"['Ricardo Gudwin', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
Advanced Issues in Cognitive Science and Semiotics,2006,Inglês,VAZIO,"['Priscila Farias', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
Special Issue on Computational Intelligence and Semiotics,2003,Português,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'GUDWIN, R']","['1', '2']",['1']
Digital Encyclopedia of Charles S. Peirce,2002,Inglês,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'GUDWIN, R']","['1', '2']",['1']
On modeling adaptive and cognitive systems,2010,Inglês,VAZIO,"['LOULA, A', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
Translating Culture (issue n. 24 - 9),2010,Inglês,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'Aguiar, Daniella']","['1', '2']",['1']
Diagrammatical reasoning and Peircean logic representations,2011,Inglês,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'STJERNFELT, F.']","['1', '2']",['1']
International Journal of Signs and Semiotic Systems (IJSSS),2011,Inglês,VAZIO,"['LOULA, A', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
"A Lógica de Diagramas de Charles Sanders Peirce: implicações em ciência cognitiva, lógica e semiótica",2013,Português,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'Lafayette de Moraes']","['1', '2']",['1']
Dossiê Intermidialidade (v. 9 n. 2),2015,Inglês,VAZIO,"['AGUIAR, DANIELLA', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
Proceedings 1º Congresso Internacional de Intermidialidade 2014,2015,Português,VAZIO,"['AGUIAR, DANIELLA', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
"Tradução, Transposição e Adaptação Intersemióticas",2016,Português,VAZIO,"['AGUIAR, DANIELLA', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
Visualizando Signos -- modelos visuais para as classificações sígnicas de Charles S. Peirce,2017,Português,VAZIO,"['Priscila Farias', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
Semiotics -- a way of thinking &amp; approaching information design,2017,Inglês,VAZIO,"['Priscila Farias', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
"Ao Vires Isto: Gertrude Stein, Tradução e Intermidialidade",2018,Português,VAZIO,"['Aguiar, Daniella', 'Luci Collin', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2', '3']",['3']
Peirce s extended theory and classifications of signs,2019,Inglês,VAZIO,"['Alvaro Joao Magalhaes de Queiroz', 'Stjernfelt, Frederik']","['1', '2']",['1']
"Intermediality, Transmediality, Multimodality and Intersemiotic Translation",2019,Inglês,VAZIO,['Alvaro Joao Magalhaes de Queiroz'],['1'],['1']
Fotolivros de Literatura: Teoria e História,2021,Português,VAZIO,"['Ana Luiza Fernandes', 'Karl Erik Schollhammer', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2', '3']",['3']
The Commens Encyclopedia -- The Digital Encyclopedia of Peirce Studies,2014,Inglês,VAZIO,"['Mats Bergman', 'Alvaro Joao Magalhaes de Queiroz']","['1', '2']",['2']
