INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
secretaria de Educação do Município de Franca,2001,05,05,05,,ENSINO-MEDIO,"['Geografia', 'História']"
secretaria de Educação do Município de Franca,2001,08,08,08,,OUTRO,['Polivalente - Educação Infantil']
Secretaria de Educação do Estado de São Paulo,2001,01,01,01,,ENSINO-FUNDAMENTAL,['Ciências Humanas']
secretaria de Educação do Município de Franca,2001,05,05,05,,ENSINO-FUNDAMENTAL,"['Geografia', 'História']"
secretaria de Educação do Município de Franca,2002,05,05,05,,ENSINO-FUNDAMENTAL,['Polivalente - Ensino Fundamental I (1ª a 4ª série)']
Universidade Estadual Paulista &amp;quot;Júlio de Mesquita Filho&amp;quot;,2002,11,11,11,Pedagogia Cidadã,GRADUACAO,['Polivalente']
Universidade Estadual Paulista - Fundação para o Desenvolvimento da UNESP,2002,11,11,11,Pedagogia,GRADUACAO,['Polivalente']
Universidade Federal de Uberlândia,2004,07,07,07,Graduação em Matemática - Licenciatura,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio']
Universidade Federal de Uberlândia,2004,02,02,02,Graduação em Psicologia - Licenciatura,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio']
Universidade Federal de Uberlândia,2004,02,02,02,Ciências Biológicas - Licenciatura,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio']
Secretaria de Educação do Estado de São Paulo,2005,,ATUAL,ATUAL,,ENSINO-FUNDAMENTAL,['História']
Universidade Federal de Uberlândia,2005,10,10,10,Licenciatura Plena em Artes Plásticas,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio (PED90)']
Universidade Federal de Uberlândia,2005,07,07,07,Licenciatura Plena em Geografia,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio (PED90)']
Universidade Federal de Uberlândia,2005,04,04,04,Licenciatura Plena em Filosofia,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio (PED90)']
Universidade Federal de Uberlândia,2005,10,10,10,Licenciatura Plena em Educação Física,GRADUACAO,['Estrutura e Funcionamento do Ensino Fundamental e Médio (PED90)']
Faculdade Católica de Uberlândia,2006,12,12,12,História e Cultura Afro-brasileira,ESPECIALIZACAO,['O Movimento Hip Hop como Possibilidade Pedagógica']
Universidade Federal de Uberlândia,2006,10,10,10,Licenciatura e Bacharelado em Pedagogia,GRADUACAO,['Currículos e Programas']
Universidade Federal de Uberlândia,2006,10,10,10,Licenciatura e Bacharelado em Pedagogia,GRADUACAO,['Racismo e Educação: desafios para a formação docente (OPTATIVA)']
Universidade Federal de Uberlândia,2006,12,12,12,EDUCAÇÃO PARA AS RELAÇÕES ÉTNICO-RACIAIS,APERFEICOAMENTO,"['História e Cultura da África e Afro-brasileira', 'Políticas Públicas de Combate ao Racismo', 'Programa de Formação Continuada de Professores da Educação Básica: Gênero, Raça e Etnia']"
Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,2007,12,12,12,Ciências Econômicas,GRADUACAO,"['História do Pensamento Econômico', 'História Econômica e Geral']"
Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,2007,,ATUAL,ATUAL,Ciências Econômicas,GRADUACAO,['História Econômica e Geral I']
Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,2008,12,12,12,Administração de Empresas,GRADUACAO,['Metodologia Ciêntífica']
Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,2008,12,12,12,Ciências Contabeis,GRADUACAO,['Metodologia Ciêntífica']
Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,2008,,ATUAL,ATUAL,Ciências Econômicas,GRADUACAO,['História Econômica e Geral II']
