TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Uma Didática da Invenção - Livro com textos e partituras de obras premiadas no II Concurso Nacional de Composição para Contrabaixo (2000),2005,Português,UFG,"['Fausto Borém', 'Ernst Mahle', 'Estércio Marquez Cunha', 'Sônia Ray', 'Larena Franco', 'Alexandre Schubert']","['1', '2', '3', '4', '5', '6']",['1']
Uma perspectiva interdisciplinar da visão e do tato na afinação de instrumentos não-temperados,2006,Português,Musa Editora,"['Fausto Borém', 'Guilherme Menezes Lage', 'Maurílio Nunes Vieira', 'João Pardal Barreiros']","['1', '2', '3', '4']",['1']
"NUNES, Lino José (Rio de Janeiro, 1789 ? 1847)",2014,Português,CESEM,"['Fausto Borém', 'Alberto Pacheco']","['1', '2']",['1']
Relações texto-música-imagem de Elis Regina em Me Deixas Louca,2016,Português,Minas de Som (UFMG),"['Deniele Perotti', 'Fausto Borém']","['1', '2']",['2']
As Folias (ou Lição 5) de Pedro Lopes Nogueira (c.1700&amp;#8208;c.1770): uma proposta de improvisação no violino,2017,Português,Selo Minas de Som,"['Gustavo Medina', 'Fausto Borém']","['1', '2']",['2']
A coloratura vocal de Cecilia Bartoli na ária Agitata da due venti de Vivaldi.,2017,Português,Selo Minas de Som,"['Diego Pereira', 'Fausto Borém']","['1', '2']",['2']
Técnicas estendidas do contrabaixo autoacompanhado em um arranjo de Canto para minha morte (1976) de Raul Seixas e Paulo Coelho.,2017,Português,Selo Minas de Som,"['João Paulo Campos', 'Fausto Borém']","['1', '2']",['2']
A Cinesfera da Voz e do Corpo da Cantora-atriz Martha Herr,2017,Português,Centro de Musicalização Integrado - Escola de Música da UFMG,['Fausto Borém'],['1'],['1']
"Efeitos vocais e o trinômio texto&amp;#8208;som&amp;#8208;imagem de Elis Regina em Como nossos pais, de Belchior",2018,Português,UFMG - Minas de Som,"['Alfredo Ribeiro', 'Fausto Borém']","['1', '2']",['2']
A coloratura vocal em cinco tratados antigos de canto,2018,Português,UFMG - Minas de Som,"['Diego Pereira', 'Fausto Borém']","['1', '2']",['2']
"Técnicas estendidas do contrabaixo auto acompanhado:  aplicações nos arranjos de Canto Para Minha Morte,  Metal Contra as Nuvens e No Morro da Casa Verde",2018,Português,UFMG - Minas de Som,"['João Paulo Campos', 'Fausto Borém']","['1', '2']",['2']
"A escrita idiomática e pedagógica de Salvador Amato em Estudio Concierto e Estudio Capricho, para contrabaixo solo",2018,Português,UFMG - Minas de Som,"['Rodrigo Guillermo Olivarez Olivares', 'Fausto Borém']","['1', '2']",['2']
O ?resfulêgo da sanfona? no violão de Gilberto Gil  em Expresso 2222,2019,Malgaxe,UFMG,"['Samy Erik', 'Fausto Borém']","['1', '2']",['2']
"O Arranjo para contrabaixo sozinho de Dave Holland para ?Mr. P.C.?, de John Coltrane",2020,Malgaxe,Escola de Música da UFMG,"['Pablo Souza', 'Fausto Borém']","['1', '2']",['2']
Mudanças de posição com ?Dedo Antigo? ou ?Dedo Novo? no violoncelo: escolhas estilísticas de portamenti nos concertos de Haydn e Lalo,2020,Português,Escola de Música da UFMG,"['Pedro Henrique Ludwig', 'Fausto Borém']","['1', '2']",['2']
Delineamento de 4 excertos com situações de esforço cognitivo distintas da performance no contrabaixo acústico,2020,Malgaxe,Escola de Música da UFMG,"['Leonardo Lopes', 'Guilherme Menezes Lage', 'Fausto Borém']","['1', '2', '3']",['3']
A Casta de Lições para Violino de Pedro Lopes Nogueira: um zibaldone português sob a ótica de 19 tutoriais de violino do séc. XVIII,2019,Português,Editora da Universidade Estadual do Amazonas,"['Gustavo Medina', 'Fausto Borém']","['1', '2']",['2']
Plataforma SmartMusic®: revisão de literatura e  aplicação no controle da afinação no violoncelo,2021,Malgaxe,UFMG / Selo Minas de Som,"['Pedro Henrique Ludwig', 'Fausto Borém']","['1', '2']",['2']
"O Arranjo vocal do Sambaranda em  Capim, de Djavan",2021,Malgaxe,UFMG / Selo Minas de Som,"['Glaw Nader', 'Fausto Borém']","['1', '2']",['2']
"Metodologias de pesquisa em performance musical no Brasil: tendências, alternativas de pesquisa e relatos de experiência",2005,Português,Irokun / Vieira,"['Fausto Borém', 'Sônia Ray', 'Cristina Caparelli Gerling', 'Zélia Chueke', 'Sônia Albano de Lima']","['1', '2', '3', '4', '5']",['1']
