PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Henrique Oswald e os caminhos da ópera nacional,2007,2009,PESQUISA,['Flávio Cardoso de Carvalho'],['SIM']
Banco de dados sobre o canto brasileiro,2009,2010,PESQUISA,['Flávio Cardoso de Carvalho'],['SIM']
Banco de dados sobre o canto brasileiro II,2010,2011,PESQUISA,['Flávio Cardoso de Carvalho'],['SIM']
Colóquio Internacional UE/UFU,2010,2010,EXTENSAO,['Flávio Cardoso de Carvalho'],['SIM']
II Colóquio Internacional UEVORA / UFU Práticas Interpretativas em música na Universidade brasileira e portuguesa: performance e pesquisa,2011,2011,EXTENSAO,"['Flávio Cardoso de Carvalho', 'callegari, Paula', 'Rosiane Lemos']","['SIM', 'NAO', 'NAO']"
A Bota do Diabo: Uma Mágica de Chiquinha Gonzaga - Restauro e memória da música Brasileira,2014,2015,PESQUISA,"['Flávio Cardoso de Carvalho', 'Wenderson Silva Oliveira', 'Paulo Henrique Fernandes Costa', 'Rogério Soares de Sousa']","['SIM', 'NAO', 'NAO', 'NAO']"
Seminário de Metodologia do Ensino do Canto: 2015,2015,2015,EXTENSAO,['Flávio Cardoso de Carvalho'],['SIM']
Edição crítica das canções de Dinorá de Carvalho,2016,2017,PESQUISA,['Flávio Cardoso de Carvalho'],['SIM']
A técnica Alexander e seus benefícios aplicados ao músico,2017,2017,EXTENSAO,['Flávio Cardoso de Carvalho'],['SIM']
Ópera Studio,2018,2018,EXTENSAO,"['Flávio Cardoso de Carvalho', 'Poliana de Jesus Alves']","['SIM', 'NAO']"
PERFORMANCE E GRAVAÇÃO,2018,2018,EXTENSAO,"['Flávio Cardoso de Carvalho', 'Poliana de Jesus Alves']","['SIM', 'NAO']"
Seminários de Metodologia do Ensino do Canto: 2018,2018,2018,EXTENSAO,['Flávio Cardoso de Carvalho'],['SIM']
Técnica Vocal Aplicada,2020,ATUAL,EXTENSAO,['Flávio Cardoso de Carvalho'],['SIM']
Seminários de Metodologia do Ensino do Canto: diálogos em ambiente virtual.,2020,ATUAL,EXTENSAO,"['Flávio Cardoso de Carvalho', 'Jaqueline Marques']","['SIM', 'NAO']"
I Seminário de Pedagogia do Canto Lírico,2013,ATUAL,EXTENSAO,['Flávio Cardoso de Carvalho'],['SIM']
Vida e obra de Dinorá de Carvalho: biografia circunstanciada por periódicos e novo catálogo de obras.,2019,ATUAL,PESQUISA,['Flávio Cardoso de Carvalho'],['SIM']
Pesquisa em edição crítica de 3 obras vocais da compositora Dinorá de Carvalho presente no CDMC/UNICAMP,2017,2019,PESQUISA,"['Flávio Cardoso de Carvalho', 'Tadeu Moraes Taffarello']","['SIM', 'NAO']"
