ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
0109457303275046,Rita Lages Rodrigues,Rodrigues,"RODRIGUES, Rita Lages;LAGES RODRIGUES, RITA",Belo Horizonte,MG,"É Professora Associada I do Programa de Pós-Graduação em Artes e dos cursos de graduação em Conservação-Restauração em Bens Culturais Móveis e em Artes Visuais da Escola de Belas Artes da UFMG. Possui doutorado (2012) e mestrado (2001) em História pela Universidade Federal de Minas Gerais, na linha de pesquisa História Social da Cultura. Atualmente lidera o Grupo de Pesquisa Estopim, Núcleo de estudos interdisciplinares do Patrimônio Cultural, junto com o pesquisador Luiz Henrique Assis Garcia, e participa do grupo de pesquisa IMAM - Laboratório de Imagem, Memória, Arte e Metrópole. É autora do livro Entre Bruxelas e Belo Horizonte: itinerários da escultora Jeanne Louise Milde, de artigos e capítulos de livros. Atua principalmente nos seguintes temas: História das Mulheres Artistas nos séculos XIX e XX, História da arte, História das cidades, Patrimônio Cultural, Gênero e Arte.",22-07-2022,Universidade Federal de Minas Gerais,
0140391284870531,Adilson Roberto Siqueira,Siqueira,"SIQUEIRA, Adilson. R.;SIQUEIRA, ADILSON;SIQUEIRA, ADILSON ROBERTO",Campinas,SP,"Possui graduação em Artes Cênicas (1992), mestrado em Artes Corporais  (2000) e doutorado em Educação Física (Pedagogia do movimento) todos pela Universidade Estadual de Campinas (2005). Realizou um pós-doutorado em Pedagogia do Movimento na Universität Musik un Darstellende Kunst, Wien, Áustria (2007) e outro em Performance socialmente engajada na Universidade Federal do Estado do Rio de Janeiro (2026). Atualmente é conselheiro da APA e da  Reserva da Vida Selvagem da Serra de São Jose, vinculado à Secretaria de Estado do Meio Ambiente e Desenvolvimento Sustentável,  professor associado da Universidade Federal de São João Del-Rei, onde atua no Curso de Teatro, no Programa Interdisciplinar de Pós-graduação em Artes, Urbanidade e Sustentabilidade e no  Programa de Pós-graduação em Artes Cênicas. É líder e pesquisador do Grupo Transdisciplinar de Pesquisa em Artes, Culturas e Sustentabilidade, pesquisador-coordenador do  Laboratório de Ecopoéticas. Atua na área Inter e transdisciplinar, dedicando-se principalmente aos seguintes temas: sustentabilidade e mudança climática, performance e decolonialidade, jogo e arte-educação, ação comunitária e artivismo , negritude e racismo.",20-05-2022,Universidade Federal de São João Del-Rei,
0324787216120971,Edson Queiroz de Andrade,Andrade,"ANDRADE, E. Q.;DE ANDRADE, EDSON QUEIROZ",Belo horizonte,MG,"Possui graduação em Odontologia pela Universidade Federal de Minas Gerais (1982), mestrado em Música - University of Iowa (1987) e doutorado em Música - University of Iowa (1988). Atualmente é Professor Titular da Universidade Federal de Minas Gerais. Tem experiência na área de Artes, com ênfase em Instrumentação Musical, atuando principalmente nos seguintes temas: violino, performance instrumental, concerto, masterclasse e audição de alunos.",11-07-2022,Universidade Federal de Minas Gerais,
0691329903728467,Cecília Nazaré de Lima,Lima,"LIMA, C. N.",Belo Horizonte,MG,"Professora Associada do Departamento de Teoria Geral da Música da Escola de Música da UFMG. Graduada em Piano e Composição, Mestre em Artes Musicais (2002), pelo Instituto de Artes da UNICAMP, em Campina/SP, e Doutora em Criação e crítica da imagem em movimento (2012), pela Escola de Belas Artes da UFMG, em Belo Horizonte, é docente permanente do Programa de Pós-Graduação em Música, com atuação na linha de pesquisa Performance Musical. Faz parte dos grupos de pesquisa Intermídia: estudos sobre intermidialidade, da Faculdade de Letras da UFMG, coordenado por Thaís Flores Diniz, e Resgate da Canção Brasileira, da Escola de Música da UFMG, coordenado por Mônica Pedrosa de Pádua e Luciana Monteiro, desenvolvendo estudos, entre outros, de relações da música e outras artes e de editoração e divulgação de partituras. Na área da composição, algumas de suas criações estão disponíveis do site do Sesc Partituras https://www.sesc.com.br/portal/site/sescpartituras/Compositores/.&amp;#10;Dos encargos administrativos, se destacam: Membro da Comissão Própria de Avaliação da UFMG - CPA, gestão 2019 - 2021; Membro do Núcleo Docente Estruturante - NDE da Escola de Música da UFMG, 2019 - 2023, Vice-Diretoria da Escola de Música da UFMG, gestão 2014-2018; Coordenação do Vestibular da UFMG/Habilitação Música dos anos de 2016 e 2017; Representação do Departamento de Teoria Geral da Música no Colegiado de Graduação da Escola de Música da UFMG, 2012 a 2014; Chefia do Departamento de Teoria Geral da Música da EMUFMG, de 2003 a 2005.",04-05-2022,Universidade Federal de Minas Gerais,
0737216092823558,Arnaldo Leite de Alvarenga,Alvarenga,"ALVARENGA, A. L.",Curvelo,MG,"Arnaldo Alvarenga é dançarino, professor, coreógrafo e pesquisador com mais de 40 anos de experiência artística em dança. Formou-se pelo Trans-Forma Centro de Dança Contemporânea de Belo Horizonte (MG) e em Leitura Corporal com aprofundamento em Fisiognomonia pelo Núcleo de Leitura Corporal de Belo Horizonte (MG). Trabalha com preparação corporal, para atores, cantores líricos e populares, bem como para a maior idade. No campo acadêmico graduou-se em Geologia pelo IGC - UFMG (1981), tem mestrado em Educação pela FAE - UFMG (2002) e doutorado pela mesma instituição (2009), no campo da História da Educação. Atualmente é professor associado da Universidade Federal de Minas Gerais onde integra o corpo docente dos cursos de Graduação em Teatro e do Curso de Dança - Licenciatura, da Escola de Belas Artes. Foi coordenador pedagógico do Curso de dança da EBA - UFMG por 10 anos consecutivos. Atuou como professor do PROFARTES - Mestrado Profissional em Ensino de Arte. É professor efetivo do PPGARTES - UFMG - Mestrado e Doutorado Acadêmico em Arte nas linhas de Artes da Cena e Arte e Ensino-aprendizagem em Arte. Orienta, TCCs de Licenciatura, Bacharelado e projetos de Iniciação Científica. É coordenador do Grupo de Pesquisa do CNPq - Arte e Experiência Interartes na Educação. Foi presidente da ABRACE - Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (Gestão 2013-2014). É avaliador da área de Arte cadastrado no MEC e atua nas áreas de História e Memória da Dança, Estudos Corporais e Educação tem livros e artigos publicados sobre esta temática.",21-04-2022,Universidade Federal de Minas Gerais,https://orcid.org/0000-0003-3427-0829
0772623950282663,André Luiz Lopes Magela,Magela,"MAGELA, A. L. L.;Magela, André Luiz;MAGELA, André Luiz Lopes;MAGELA, André L. L.;MAGELA, André",volta redonda,RJ,"Professor da graduação em Teatro e da pós-graduação em Artes Cênicas da Universidade Federal de São João del Rei, UFSJ, em Minas Gerais, onde dedica-se prioritariamente ao campo da licenciatura em teatro e da atuação ligada a processos de transformação pessoal. Coordenador da Pesquisa &amp;quot;Grotowski Deleuze Educação - Produção de subjetividade em dimensões teatrais&amp;quot;, financiada pelo CNPq. Participante do Grupo de Pesquisa em Educação, Filosofia e Imagem - GEFI/UFSJ, certificado pelo CNPq. Líder do grupo de pesquisa &amp;quot;produção de subjetividade em dimensões estéticas: filosofia, artesania e educação&amp;quot;, certificado no DGP CNPq. &amp;#10;Doutor em Artes Cênicas pelo PPGAC - UNIRIO. Pós-doutorado em educação estética na Université Lumière Lyon2, na França, sob supervisão de Alain Kerlan. Especialista (Pós-graduação lato sensu) em Terapia Através do Movimento - Corpo e Subjetivação pela Faculdade de Dança Angel Vianna. Ator formado pela CAL - Casa de Artes de Laranjeiras.  Licenciado em teatro pela UNIRIO. &amp;#10;Investiga e dialoga principalmente com os seguintes temas: docência de teatro; educação teatral no ensino básico; aulas de teatro e cognição; prática do teatro e transformação pessoal; teatro e filosofia contemporânea; estudos da subjetividade e biopolítica. CONTATO: andremagela@ufsj.edu.br",18-05-2022,Universidade Federal de São João Del-Rei,
0804094119521455,Jenny González Muñoz,Muñoz,"GONZALEZ M., J.;GONZALEZ, JENNY",Caracas,,"Professora Visitante Escola de Belas Artes- Universidade Federal de Minas Gerais, Brasil. Pós-doutorado (PNPD-CAPES) em História, Universidade de Passo Fundo. Pós doutora em Pedagogia Militar (Seguridade e Defesa da Nação), Universidade Militar Bolivariana da Venezuela (Bolsa interna) Doutora em Cultura e Arte para a América Latina e do Caribe, pela Universidade Pedagógica Experimental Libertador, Caracas, com destaque para os povos indígenas, religiosidade, política pública do multiculturalismo, arte e património cultural. Mestra em Memória Social e Patrimônio Cultural, pela Universidade Federal de Pelotas - Rio Grande do Sul - Brasil, (Bolsa em Demanda Social-CAPES). Licenciado em Artes pela Universidade Central da Venezuela. Temas de interesse: Arte contemporânea e processos culturais emergentes; Memória e Patrimônio Cultural; Seguridade dos bens culturais, políticas públicas nas expressões socioculturais, tratados religiosos, Cultura e identidade dos povos indígenas e campeneses do Abya Yala. Arte e migrações. &amp;#10;Pesquisadora do Centro de Investigaciones Mariano Picón Salas (CIMAPISA), do Instituto Pedagógico de Caracas-UPEL. Pesquisadora do Grupo de Pesquisa sobre Identidades Coletivas, Conhecimentos Tradicionais e Processos de Territorialização e do Grupo de Estudo e Pesquisa Formação, Trabalho, Desigualdade Social e Políticas Públicas da UFPI (Brasil) Membro da Rede Ibero-americana de Cemitérios Patrimoniais.",07-07-2022,Universidade Federal de Minas Gerais,
0861896066422077,Ana Elvira Wuo,Wuo,"WUO, A. E.;WUO, ANA",Salesópolis,SP,"Possui graduação em Artes Cênicas pela Universidade Estadual de Campinas (1993), mestrado em Estudos do Lazer- Educação Física pela Universidade Estadual de Campinas (1999), doutorado em Pedagogia do Movimento-Corporeidade- Educação Física pela Universidade Estadual de Campinas (2005) e doutorado em Artes da Cena pela Universidade Estadual de Campinas (2016). Pós-doutorado ( 2011-2014) em Neurolinguística-IEL-UNICAMP e Pós-doutorado ( 2019-2020) em atividades Circenses -Grupo Circus-FEF-UNICAMP. Atualmente é docente do Curso de Teatro da Universidade Federal de Uberlândia, leciona na graduação e pós-graduação,  coordena o Projeto de Extensão &amp;quot; Palhaços Visitadores no Contexto hospitalar &amp;quot;, membra co-fundadora  do Grupo de Pesquisa TECO: Grupo Interdisciplinar de pesquisas em práticas da cena - máscara, jogo, atuação . Possui  experiência na área de Artes, com ênfase em Teatro, atuando principalmente  nas áreas de artes cênicas e educação nos temas :  comicidade e criação, palhaçaria hospitalar e teatral, interpretação e treinamento físico do ator/atriz. &amp;#10;https://orcid.org/0000-0002-2584-2170",26-07-2022,,https://orcid.org/0000-0002-2584-2170
0867882382171922,Antonio Carlos Guimarães,Guimarães,"GUIMARÃES, Antonio Carlos;GUIMARÃES, ANTÔNIO",São João del Rei,MG,"O flautista Antonio Carlos Guimarães é Bacharel pela Universidade Federal de Minas Gerais (1990), Mestre em Música pela University of New México - EUA (1995) e Doutor em Arte Musicais pela University of Iowa - EUA (2003). Atualmente é professor associado da Universidade Federal de São João Del-Rei - UFSJ - onde leciona nos cursos de graduação e pós graduação em Música. Antonio tem ampla produção artística como músico flautista e pesquisador nos campos da performance musical e no ensino da flauta transversal, além disso atua na Extensão Universitária tendo coordenado o Programa Música XXI da UFSJ. Foi chefe do Departamento de Música da UFSJ de 2006 a 2010, Membro do Conselho Universitário de 2006 a 2008 e é Membro do Conselho Curador da Fundação Centro de Refência Musicológica José Maria Neves desde 2012. É membro da diretoria da Associação Brasileira de Flautistas - ABRAF - desde 2007 e exerce a função de Diretor de Evento Científico da ABRAF desde 2008.",09-03-2022,Universidade Federal de São João Del-Rei,
0897956176968775,Carlos Roberto Ferreira Menezes Junior,Junior,"MENEZES JÚNIOR, C. R. F.",Uberlândia,MG,"É professor efetivo do curso de graduação e pós-graduação em música da Universidade Federal de Uberlândia (UFU) atuando na área de música popular (harmonia, arranjo e história), e na área de música e novas tecnologias. Doutor em música pela ECA/USP na área de processos de criação musical. Mestre na área de inteligência artificial / computação sônica pela UFU (conclusão em julho de 2007). Pós-graduado (lato senso) no curso de especialização em música do século XX com área de concentração em  computação sônica em 2001 pela UFU. possui graduação em Música - Bacharelado em Violão pela UFU (2002), graduação em Educação Artística / Licenciatura Plena em música pela UFU (2003)  e graduação em Engenharia Mecânica pela UFU (1997). Tem experiência como professor, compositor, arranjador, violonista,  cantor e regente de coral. Atuando principalmente nos seguintes temas: musica popular, arranjo vocal, violão, canto, composição, produção musical, arranjo, computação musical, música eletroacústica. Membro do Núcleo de Música e Tecnologia (NUMUT) da UFU. Fundador e integrante do quarteto vocal VagaMundo como cantor, violonista e arranjador.",05-04-2022,Universidade Federal de Uberlândia,
