TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Sara Ávila: depoimento,2001,Português,VAZIO,['Rita Lages Rodrigues'],['1'],['1'],0109457303275046,Rita Lages Rodrigues,Rodrigues,"RODRIGUES, Rita Lages;LAGES RODRIGUES, RITA",Belo Horizonte,MG,"É Professora Associada I do Programa de Pós-Graduação em Artes e dos cursos de graduação em Conservação-Restauração em Bens Culturais Móveis e em Artes Visuais da Escola de Belas Artes da UFMG. Possui doutorado (2012) e mestrado (2001) em História pela Universidade Federal de Minas Gerais, na linha de pesquisa História Social da Cultura. Atualmente lidera o Grupo de Pesquisa Estopim, Núcleo de estudos interdisciplinares do Patrimônio Cultural, junto com o pesquisador Luiz Henrique Assis Garcia, e participa do grupo de pesquisa IMAM - Laboratório de Imagem, Memória, Arte e Metrópole. É autora do livro Entre Bruxelas e Belo Horizonte: itinerários da escultora Jeanne Louise Milde, de artigos e capítulos de livros. Atua principalmente nos seguintes temas: História das Mulheres Artistas nos séculos XIX e XX, História da arte, História das cidades, Patrimônio Cultural, Gênero e Arte.",22-07-2022,Universidade Federal de Minas Gerais,
Compositores portugueses contemporâneos - João Pedro Oliveira,2006,Português,VAZIO,"['João Pedro Paiva de Oliveira', 'Alexandre Delgado', 'Virgílio Melo', 'Paul Rudy', 'Helena Santana']","['1', '2', '3', '4', '5']",['1'],7375164992987814,João Pedro Paiva de Oliveira,Oliveira,"OLIVEIRA, J. P.;OLIVEIRA, JOÃO PEDRO",Lisboa,VAZIO,VAZIO,02-03-2020,Universidade Federal de Minas Gerais,
Teoria Analítica da Música do Século XX,2007,Português,VAZIO,['João Pedro Paiva de Oliveira'],['1'],['1'],7375164992987814,João Pedro Paiva de Oliveira,Oliveira,"OLIVEIRA, J. P.;OLIVEIRA, JOÃO PEDRO",Lisboa,VAZIO,VAZIO,02-03-2020,Universidade Federal de Minas Gerais,
Pedagogia do Teatro 1 - Módulo 25,2012,Português,VAZIO,['Narciso Larangeira Telles da Silva'],['1'],['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
Cuerpos en actuación. Prácticas de Improvisación y Composición,2021,Espanhol,VAZIO,['Narciso Larangeira Telles da Silva'],['1'],['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
Múltiplos olhares sobre processos descoloniais nas Artes Cênicas [ISBN: 978.85.462.1089.3],2018,Português,VAZIO,"['Narciso Larangeira Telles da Silva', 'Ana Carolina Mundin', 'Bya Braga (Maria Beatriz Mendonça)', 'Jorge Graça Veloso']","['1', '2', '3', '4']",['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
Atelies em artes cênicas: produção-extensão e difusão cultural v. 1,2017,Português,VAZIO,"['Narciso Larangeira Telles da Silva', 'Fernando Manoel Aleixo']","['1', '2']",['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
Artes da Cena: processos e práticas,2016,Português,VAZIO,['Narciso Larangeira Telles da Silva'],['1'],['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
Cena Contemporânea: estudos de encenação e atuação [em Potestade],2016,Português,VAZIO,['Narciso Larangeira Telles da Silva'],['1'],['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
Pedagogia do Teatro. Práticas contemporâneas em sala de aula,2013,Português,VAZIO,['Narciso Larangeira Telles da Silva'],['1'],['1'],7159513683604358,Narciso Larangeira Telles da Silva,Silva,"TELLES, N.;TELLES, NARCISO",Angra dos Reis,RJ,"Teatreiro, ator e diretor. Pós-Doutor em Teatro (UDESC, 2012), (UAM/Universidad Castilla de la Macha, 2017 - Programa Estágio Sênior/CAPES). É professor do Curso de Teatro (licenciatura e bacharelado), do Programa de Pós-Graduação em Artes Cênicas e Mestrado Profissional em Artes na Universidade Federal de Uberlândia (UFU) e colaborador no Programa de Pós-Graduação em Educação/UFU e no PPGAC/UFMA. Pesquisador do CNPq e do GEAC/UFU. Tem estudos, publicações e prática artística na área de Artes/Teatro, com ênfase em Interpretação/Atuação/Improvisação; Pedagogia do Teatro e Cena Contemporânea; Artes do Corpo e Educação. Membro do Núcleo 2  Coletivo de Teatro -Uberlândia-MG. Ex-Presidente da Associação Brasileira de Pesquisa e Pós-Graduação em Artes Cênicas (ABRACE), gestão 2015 -2016.",26-04-2022,Universidade Federal de Uberlândia,https://orcid.org/0000-0002-7016-7805
