ID,Docente
0140391284870531,ADILSON ROBERTO SIQUEIRA
4309667824438929,ALBERTO FERREIRA DA ROCHA JUNIOR
9978680564909091,ALESSANDRA ROSADO
9638277622683373,ALEX BEIGUI DE PAIVA CAVALCANTE
1906952326422085,ALEXANDRE RODRIGUES DA COSTA
2113943674181774,AMIR BRITO CADOR
8524050960433272,ANA CRISTINA CARVALHO PEREIRA
0861896066422077,ANA ELVIRA WUO
7870834322246866,ANA ROSELI PAES DOS SANTOS
0772623950282663,ANDRE LUIZ LOPES MAGELA
7834837062630931,ANGELICA OLIVEIRA ADVERSE
0867882382171922,ANTONIO CARLOS GUIMARAES
0737216092823558,ARNALDO LEITE DE ALVARENGA
5858584847123848,ARNON SAVIO REIS DE OLIVEIRA
4904989732251971,BENJAMIN XAVIER DE PAULA
2696544764397266,BERILO LUIGI DEIRO NOSELLA
8239652570307384,CAIRO MOHAMAD IBRAHIM KATRIB
9370475068494976,CARINA MARIA GUIMARAES MOREIRA
5171993076380836,CARLOS HENRIQUE REZENDE FALCI
0897956176968775,CARLOS ROBERTO FERREIRA MENEZES JUNIOR
0691329903728467,CECILIA NAZARE DE LIMA
8974163389393254,CELINA FIGUEIREDO LAGE
6022645968535320,CESAR ADRIANO TRALDI
1220551391795710,CHRISTIAN HUGO PELEGRINI
4825606089955911,CLAUDIO JOSE GUILARDUCI
8630933424296722,CLEBER RODRIGO BRAGA DE OLIVEIRA
7185852622406413,CLIFFORD HILL KORMAN
4557955037992266,CRISTIANO CEZARINO RODRIGUES
5470805433951697,CYBELLE MARIA VEIGA LOUREIRO
9231522389312679,DANIEL LUIS BARREIRO
3266759891135746,DANIEL SANTOS COSTA
3089944755374031,DANIELLA DE AGUIAR
3912456509075556,DIRCE HELENA BENEVIDES DE CARVALHO
5707581316608650,EDITE MARIA OLIVEIRA DA ROCHA
0324787216120971,EDSON QUEIROZ DE ANDRADE
7563990293407910,EDUARDO CAMPOLINA VIANNA LOUREIRO
8643978507041015,ELSIENI COELHO DA SILVA
4396977006055773,ELVINA MARIA CAETANO PEREIRA
4450453554832020,FABIO FONSECA
5447952097396899,FABIO HENRIQUE VIANA
5589268218426587,FAUSTO BOREM DE OLIVEIRA
5745792827414580,FERNANDO ANTONIO MENCARELLI
1741102508969302,FERNANDO MANOEL ALEIXO
2134782236760988,FERNANDO MARTINS DE CASTRO CHAIB
2394281053017478,FLAVIA JANIASKI VALE
8471523315605611,FLAVIO CARDOSO DE CARVALHO
8877943543630986,FLAVIO TERRIGNO BARBEITAS
5237321219459906,GLAURA LUCAS
3011641878605040,GUSTAVO CUNHA DE ARAUJO
4514157223220619,HELENA LOPES DA SILVA
4914387623340808,HELOISA MARINA DA SILVA
9315717537762029,IGOR LEAO MAIA
8633520438663625,JARBAS SIQUEIRA RAMOS
0804094119521455,JENNY GREGORIA GONZALEZ MUNOZ
8398441003974796,JOAO HENRIQUE LODI AGRELI
7375164992987814,JOAO PEDRO PAIVA DE OLIVEIRA
3627117545793761,JOSE EDUARDO DE PAULA
