,TITLE
69,Por uma nova metodologia para investigar o surgimento e a evolução de padrões de movimento em dança a partir de diálogos culturais
113,Notes for a dynamic diagram of Charles Peirce¿s classifications of signs
55,Grafos existenciais de C.S.Peirce: uma introdução ao sistema Alfa
54,Sign Design: nuevas estrategias para modelar procesos y estructuras sígnicas
53,Tipologia da consciência: um estudo comparativo baseado na filosofia de C.S.Peirce.
60,Towards Meaning Processes in Computers from Peircean Semiotics
61,Editorial. Computational Intelligence and Semiotics ? on the synthesis  of semiosis in artificial systems and creatures
62,Synthetic approach of symbolic creatures
64,Introduçao ao sistema beta dos grafos existenciais de C.S.Peirce
174,Comunicação simbólica em primatas não-humanos: uma análise baseada na semiótica de C. S. Peirce
58,"On diagrams for Peirces 10, 28, and 66 classes of signs"
59,Diagramas interativos para as classificações sígnicas de Charles S. Peirce
63,10cubes and 3N3: Using interactive diagrams to investigate Charles Peirces classifications of signs
68,Symbolic Communication in Artificial Creatures: an experiment in Artificial Life
71,Introdução à divisão 3-tricotômica de signos
65,Semiose e emergência
66,Abduction: Between Subjectivity and Objectivity
70,Modos de irredutibilidade das propriedades emergentes
72,Downward determination
73,Information and semiosis in living systems: a semiotic approach
75,Irredutibilidde das relações segundo C.S.Peirce
76,Definindo Semiose como Processo Emergente
80,Semiótica Sintética: sobre a síntese de criaturas simbólicas artificiais
79,Semiosis and pragmatism: Toward a dynamic concept of meaning
78,Towards a Multi-Level Approach to the Emergence of Meaning Processes in Living Systems
77,"Images, diagrams, and metaphors: Hypoicons in the context of Peirce's sixty-six-fold classification of signs"
67,Semiosis as an Emergent Process
74,A semiotic analysis of the genetic information system
84,Síntese de criaturas simbólicas: um experimento em vida artificial
81,Modeling a semiotic process in the immune system: signal transduction in the B-cell activation
89,Classificações de signos de C.S.Peirce: de ?On the Logic of Science? ao ?Syllabus of Certain Topics of Logic?
88,Linguagem e o acoplamento de artefatos semióticos
87,On Peirce's notion of information: remarks on De Tienne's position
86,Towards the emergence of meaning processes in computers from Peircean semiotics
82,Symbols are not uniquely human
85,La emergencia del significado en sistemas semióticos
95,Artificial Emotions: Are We Ready for Them?
83,On a diagrammatic method for Peirce's classifications of signs
91,Borges e as categorias lógico-fenomenológicas de peirce
90,Biosemiotics
92,Some remarks on Bickhard and process metaphysics
96,Towards a Model of Intersemiotic Translation
93,On Peirce¿s Pragmatic Notion of Semiosis¿A Contribution for the Design of Meaning Machines
94,Sobre tradução intersemiótica -- entrevista com Augusto de Campos
